10000, 260770, 260770, 16, 16, 395119, 395119, 527548, 527548
20000, 560288, 560288, 17, 17, 828453, 828453, 1113016, 1113016
30000, 878205.2, 878816, 18, 18, 1280239, 1280928, 1726067.4, 1727024
40000, 1209017, 1209017, 19, 19, 1744803, 1744803, 2357606, 2357606
50000, 1534437.6, 1535345, 19, 19, 2206636.65, 2209314, 2984390.55, 2987285
60000, 1879129.5, 1880558, 19, 19, 2686254, 2688273, 3638637, 3641403
70000, 2222615, 2224083, 19, 19, 3166860, 3168046, 4293270.4, 4295986
80000, 2571927.9, 2572839, 19.8, 20, 3652821.85, 3653518, 4955374.25, 4955987
90000, 2922007.2, 2922572, 20, 20, 4133518, 4133568, 5613716.8, 5614002
100000, 3283355.25, 3293833, 20, 20, 4631983.45, 4637510, 6293262.35, 6304826
