1000, 24851, 24851, 10, 10, 47118, 47118, 58749, 58749
2000, 55859, 55859, 12, 12, 100647, 100647, 127718, 127718
3000, 88786, 88786, 13, 13, 155250, 155250, 199520, 199520
4000, 123153, 123153, 13, 13, 212242, 212242, 274375, 274375
5000, 161322, 161322, 13, 13, 273658, 273658, 354507, 354507
6000, 198800, 198800, 13, 13, 332769, 332769, 432868, 432868
7000, 235040, 235040, 13, 13, 391562, 391562, 511532, 511532
8000, 273189.1, 274504, 14, 14, 452781.6, 452810, 592619.3, 592703
9000, 320107, 320107, 16, 16, 522129, 522129, 682762, 682762
10000, 350925, 350925, 15, 15, 574851, 574851, 756695, 756695
